,smiles,carbons,nitrogens,oxygens,hydrogens
0,C,1,0,0,4
1,N,0,1,0,3
2,O,0,0,1,2
3,C#C,2,0,0,2
4,C#N,1,1,0,1
5,C=O,1,0,1,2
6,CC,2,0,0,6
7,CO,1,0,1,4
8,CC#C,3,0,0,4
9,CC#N,2,1,0,3
10,CC=O,2,0,1,4
11,NC=O,1,1,1,3
12,CCC,3,0,0,8
13,CCO,2,0,1,6
14,COC,2,0,1,6
15,C1CC1,3,0,0,6
16,C1CO1,2,0,1,4
17,CC(C)=O,3,0,1,6
18,CC(N)=O,2,1,1,5
19,NC(N)=O,1,2,1,4
20,CC(C)C,4,0,0,10
21,CC(C)O,3,0,1,8
22,C#CC#C,4,0,0,2
23,C#CC#N,3,1,0,1
24,N#CC#N,2,2,0,0
25,O=CC#C,3,0,1,2
26,O=CC#N,2,1,1,1
27,O=CC=O,2,0,2,2
28,CC#CC,4,0,0,6
29,CCC#C,4,0,0,6
30,CCC#N,3,1,0,5
31,NCC#N,2,2,0,4
32,OCC#C,3,0,1,4
33,OCC#N,2,1,1,3
34,CCC=O,3,0,1,6
35,CNC=O,2,1,1,5
36,COC=O,2,0,2,4
37,OCC=O,2,0,2,4
38,CCCC,4,0,0,10
39,CCCO,3,0,1,8
40,CCOC,3,0,1,8
41,OCCO,2,0,2,6
42,CC1CC1,4,0,0,8
43,CC1CO1,3,0,1,6
44,CN1CC1,3,1,0,7
45,OC1CC1,3,0,1,6
46,C1CCC1,4,0,0,8
47,C1COC1,3,0,1,6
48,CC(C)=NO,3,1,1,7
49,N1C=CC=C1,4,1,0,5
50,N1C=CN=C1,3,2,0,4
51,O1C=CC=C1,4,0,1,4
52,O1C=CN=C1,3,1,1,3
53,CC(C)(C)C,5,0,0,12
54,CC(C)(C)O,4,0,1,10
55,CC(=O)C#C,4,0,1,4
56,CC(=O)C#N,3,1,1,3
57,NC(=N)C#N,2,3,0,3
58,NC(=O)C#C,3,1,1,3
59,CC(=O)C=O,3,0,2,4
60,NC(=N)C=O,2,2,1,4
61,NC(=O)C=O,2,1,2,3
62,CC(C)C#C,5,0,0,8
63,CC(C)C#N,4,1,0,7
64,CC(N)C#N,3,2,0,6
65,CC(O)C#C,4,0,1,6
66,CC(O)C#N,3,1,1,5
67,CC(C)C=O,4,0,1,8
68,CC(O)C=O,3,0,2,6
69,CN(C)C=O,3,1,1,7
70,CC(=O)CO,3,0,2,6
71,CCC(C)=O,4,0,1,8
72,CCC(N)=O,3,1,1,7
73,CNC(C)=O,3,1,1,7
74,CNC(N)=O,2,2,1,6
75,COC(C)=N,3,1,1,7
76,COC(C)=O,3,0,2,6
77,COC(N)=O,2,1,2,5
78,NC(=O)CO,2,1,2,5
79,CC(C)CO,4,0,1,10
80,CC(O)CO,3,0,2,8
81,CCC(C)C,5,0,0,12
82,CCC(C)O,4,0,1,10
83,COC(C)C,4,0,1,10
84,CC1(C)CC1,5,0,0,10
85,CC1(C)CO1,4,0,1,8
86,CC1(O)CC1,4,0,1,8
87,N=C1CCO1,3,1,1,5
88,O=C1CCC1,4,0,1,6
89,O=C1CCN1,3,1,1,5
90,O=C1CCO1,3,0,2,4
91,O=C1CNC1,3,1,1,5
92,O=C1COC1,3,0,2,4
93,CC1CCC1,5,0,0,10
94,CC1CCO1,4,0,1,8
95,CC1COC1,4,0,1,8
96,OC1CCC1,4,0,1,8
97,OC1COC1,3,0,2,6
98,CC1CC1C,5,0,0,10
99,CC1CC1O,4,0,1,8
100,CC1CN1C,4,1,0,9
101,CC1OC1C,4,0,1,8
102,OC1CC1O,3,0,2,6
103,C1C2CC1C2,5,0,0,8
104,C1C2CC1O2,4,0,1,6
105,C#CCC#C,5,0,0,4
106,C#CCC#N,4,1,0,3
107,N#CCC#N,3,2,0,2
108,O=CCC#C,4,0,1,4
109,O=CCC#N,3,1,1,3
110,N=CNC=O,2,2,1,4
111,N=COC=O,2,1,2,3
112,O=CNC=O,2,1,2,3
113,CC#CC#C,5,0,0,4
114,CC#CC#N,4,1,0,3
115,CC#CC=O,4,0,1,4
116,CC#CCO,4,0,1,6
117,CCC#CC,5,0,0,8
118,COC=NC,3,1,1,7
119,CCCC#C,5,0,0,8
120,CCCC#N,4,1,0,7
121,CNCC#N,3,2,0,6
122,COCC#C,4,0,1,6
123,COCC#N,3,1,1,5
124,OCCC#C,4,0,1,6
125,OCCC#N,3,1,1,5
126,CCCC=O,4,0,1,8
127,CCNC=O,3,1,1,7
128,CCOC=O,3,0,2,6
129,COCC=O,3,0,2,6
130,OCCC=O,3,0,2,6
131,CCCCC,5,0,0,12
132,CCCCO,4,0,1,10
133,CCCOC,4,0,1,10
134,CCOCC,4,0,1,10
135,COCCO,3,0,2,8
136,OCCCO,3,0,2,8
137,C#CC1CC1,5,0,0,6
138,C#CC1CN1,4,1,0,5
139,C#CC1CO1,4,0,1,4
140,N#CC1CC1,4,1,0,5
141,N#CC1CN1,3,2,0,4
142,N#CC1CO1,3,1,1,3
143,O=CC1CC1,4,0,1,6
144,O=CC1CN1,3,1,1,5
145,O=CC1CO1,3,0,2,4
146,O=CN1CC1,3,1,1,5
147,CCC1CC1,5,0,0,10
148,CCC1CO1,4,0,1,8
149,CCN1CC1,4,1,0,9
150,COC1CC1,4,0,1,8
151,OCC1CC1,4,0,1,8
152,OCC1CN1,3,1,1,7
153,OCC1CO1,3,0,2,6
154,C1CC=CC1,5,0,0,8
155,C1CN=CO1,3,1,1,5
156,C1OCC=C1,4,0,1,6
157,C1CCCC1,5,0,0,10
158,C1CCOC1,4,0,1,8
159,C1COCO1,3,0,2,6
160,C1C2CCC12,5,0,0,8
161,C1C2COC12,4,0,1,6
162,C1CC2OC12,4,0,1,6
163,N1C=CC=N1,3,2,0,4
164,N1C=CN=N1,2,3,0,3
165,N1C=NC=N1,2,3,0,3
166,N1C=NN=C1,2,3,0,3
167,N1N=CC=N1,2,3,0,3
168,O1C=CC=N1,3,1,1,3
169,O1C=CN=N1,2,2,1,2
170,O1C=NC=N1,2,2,1,2
171,O1C=NN=C1,2,2,1,2
172,O1C=NN=N1,1,3,1,1
173,O1N=CC=N1,2,2,1,2
174,O1N=CN=N1,1,3,1,1
175,O1N=NN=N1,0,4,1,0
176,CC(=NO)C#C,4,1,1,5
177,CC(CO)=NO,3,1,2,7
178,CCC(C)=NO,4,1,1,9
179,ON=C1CCC1,4,1,1,7
180,ON=C1CNC1,3,2,1,6
181,ON=C1COC1,3,1,2,5
182,N=C1NC=CO1,3,2,1,4
183,N=C1OC=CO1,3,1,2,3
184,O=C1NC=CN1,3,2,1,4
185,O=C1NC=CO1,3,1,2,3
186,O=C1OC=CO1,3,0,3,2
