,smiles,carbons,nitrogens,oxygens,fluorines
0,C,1,0,0,0
1,N,0,1,0,0
2,O,0,0,1,0
3,C#C,2,0,0,0
4,C#N,1,1,0,0
5,C=O,1,0,1,0
6,CC,2,0,0,0
7,CO,1,0,1,0
8,CC#C,3,0,0,0
9,CC#N,2,1,0,0
10,CC=O,2,0,1,0
11,NC=O,1,1,1,0
12,CCC,3,0,0,0
13,CCO,2,0,1,0
14,COC,2,0,1,0
15,C1CC1,3,0,0,0
16,C1CO1,2,0,1,0
17,CC(C)=O,3,0,1,0
18,CC(N)=O,2,1,1,0
19,NC(N)=O,1,2,1,0
20,CC(C)C,4,0,0,0
21,CC(C)O,3,0,1,0
22,C#CC#C,4,0,0,0
23,C#CC#N,3,1,0,0
24,N#CC#N,2,2,0,0
25,O=CC#C,3,0,1,0
26,O=CC#N,2,1,1,0
27,O=CC=O,2,0,2,0
28,CC#CC,4,0,0,0
29,CCC#C,4,0,0,0
30,CCC#N,3,1,0,0
31,NCC#N,2,2,0,0
32,OCC#C,3,0,1,0
33,OCC#N,2,1,1,0
34,CCC=O,3,0,1,0
35,CNC=O,2,1,1,0
36,COC=O,2,0,2,0
37,OCC=O,2,0,2,0
38,CCCC,4,0,0,0
39,CCCO,3,0,1,0
40,CCOC,3,0,1,0
41,OCCO,2,0,2,0
42,CC1CC1,4,0,0,0
43,CC1CO1,3,0,1,0
44,CN1CC1,3,1,0,0
45,OC1CC1,3,0,1,0
46,C1CCC1,4,0,0,0
47,C1COC1,3,0,1,0
48,CC(C)=NO,3,1,1,0
49,N1C=CC=C1,4,1,0,0
50,N1C=CN=C1,3,2,0,0
51,O1C=CC=C1,4,0,1,0
52,O1C=CN=C1,3,1,1,0
53,CC(C)(C)C,5,0,0,0
54,CC(C)(C)O,4,0,1,0
55,CC(=O)C#C,4,0,1,0
56,CC(=O)C#N,3,1,1,0
57,NC(=N)C#N,2,3,0,0
58,NC(=O)C#C,3,1,1,0
59,CC(=O)C=O,3,0,2,0
60,NC(=N)C=O,2,2,1,0
61,NC(=O)C=O,2,1,2,0
62,CC(C)C#C,5,0,0,0
63,CC(C)C#N,4,1,0,0
64,CC(N)C#N,3,2,0,0
65,CC(O)C#C,4,0,1,0
66,CC(O)C#N,3,1,1,0
67,CC(C)C=O,4,0,1,0
68,CC(O)C=O,3,0,2,0
69,CN(C)C=O,3,1,1,0
70,CC(=O)CO,3,0,2,0
71,CCC(C)=O,4,0,1,0
72,CCC(N)=O,3,1,1,0
73,CNC(C)=O,3,1,1,0
74,CNC(N)=O,2,2,1,0
75,COC(C)=N,3,1,1,0
76,COC(C)=O,3,0,2,0
77,COC(N)=O,2,1,2,0
78,NC(=O)CO,2,1,2,0
79,CC(C)CO,4,0,1,0
80,CC(O)CO,3,0,2,0
81,CCC(C)C,5,0,0,0
82,CCC(C)O,4,0,1,0
83,COC(C)C,4,0,1,0
84,CC1(C)CC1,5,0,0,0
85,CC1(C)CO1,4,0,1,0
86,CC1(O)CC1,4,0,1,0
87,N=C1CCO1,3,1,1,0
