,selfies,carbons,nitrogens,oxygens,hydrogens
0,[Br-1].[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C],21,1,0,46
1,[O][=C][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][O][=C][Ring1][#Branch2][Ring1][=Branch1],11,1,1,7
2,[Cl][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],8,0,1,5
3,[Zn+2].[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#C][C][Branch1][C][O-1][=O].[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#C][C][Branch1][C][O-1][=O],46,1,6,42
4,[C][O][C][Ring1][Ring1][C][N][Branch1][#Branch1][C][C][C][O][Ring1][Ring1][C][=C][C][=C][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][#Branch1][C][C][C][O][Ring1][Ring1][C][C][C][O][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch1],25,2,4,30
5,[C][C][=C][C][=C][C][Branch1][Ring1][C][=C][=C][Ring1][Branch2],9,0,0,10
6,[C][C][C][C][C][C][Branch1][Branch2][C][C][C][Branch1][C][O][=O][C][Ring1][#Branch2],10,0,2,18
7,[C][C][C][C][Branch1][C][O][C][C][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][O][Ring1][#Branch1][C][C][Ring1][P][C][C][Branch1][C][O][C][Ring2][Ring1][Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],21,0,6,28
8,[O][=C][Branch2][Ring1][=Branch1][O][C][C][C][O][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],20,0,5,22
9,[C][N][Branch1][C][C][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],9,1,1,11
10,[C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],12,0,2,16
