,SMILES
0,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
1,O=C1Nc2cccc3cccc1c23
2,Clc1ccc(C=O)cc1
3,[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O
4,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3
5,Cc1cccc(C=C)c1
6,CCC1CCC(CCC(O)=O)C1
7,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
8,Fc1ccc(cc1)C(=O)c2ccc(F)cc2
9,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2
10,CN(C)c1ccc(C=O)cc1
11,CC(=O)OC(C)(C)Cc1ccccc1
12,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O
13,CC(C)(C)c1ccc(OCC2CO2)cc1
14,COCCCCC(=O)c1ccc(cc1)C(F)(F)F
15,CC(C)=CCC\C(C)=C/CO
16,CC(Oc1ccc(Cl)cc1C)C(O)=O
17,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C
18,FC(F)(F)c1cccc(Cl)c1
19,CCC(C)(CCC(C)C)C(=O)OCC1CO1
20,CC(C)CCCCCOC(=O)CCS
21,CC(C)=C1CCC(=CC1)C
22,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O
23,[Zn++].CC(=C)C([O-])=O
24,CCNCC(O)c1cccc(O)c1
25,[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C
26,ClCc1ccc(Cl)cc1Cl
27,CC1(C)C2CCC(=C)C1C2
28,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO
29,CCCCCCCCCCCCOC(=O)C(C)O
30,NO
31,C=CC(=O)OCCOc1ccccc1
32,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O
33,OC(=O)CCCCCCCCC=C
34,C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O
35,CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3
36,CC(C)CCCCCCc1ccc(O)cc1
37,CC(=C)c1cccc(c1)C(C)=C
38,[Mo]
39,CC(C)(C)CCCCCC(=O)OC=C
40,Cc1ccc(cc1)C(C)(C)C
41,OC(=O)C1CCCCC1
