,selfies,Solubility
0,[Br-1].[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C],-3.6161271205000003
1,[O][=C][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][O][=C][Ring1][#Branch2][Ring1][=Branch1],-3.2547670983
2,[Cl][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],-2.1770779444
3,[Zn+2].[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#C][C][Branch1][C][O-1][=O].[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=N][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#C][C][Branch1][C][O-1][=O],-3.9244090954
4,[C][O][C][Ring1][Ring1][C][N][Branch1][#Branch1][C][C][C][O][Ring1][Ring1][C][=C][C][=C][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][#Branch1][C][C][C][O][Ring1][Ring1][C][C][C][O][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch1],-4.6620645831
5,[C][C][=C][C][=C][C][Branch1][Ring1][C][=C][=C][Ring1][Branch2],-3.1231503041
6,[C][C][C][C][C][C][Branch1][Branch2][C][C][C][Branch1][C][O][=O][C][Ring1][#Branch2],-3.2861163139999996
7,[C][C][C][C][Branch1][C][O][C][C][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][O][Ring1][#Branch1][C][C][Ring1][P][C][C][Branch1][C][O][C][Ring2][Ring1][Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],-2.6645485391
8,[O][=C][Branch2][Ring1][=Branch1][O][C][C][C][O][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.595502563999999
9,[C][N][Branch1][C][C][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],-2.2827688499
10,[C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.3946499685
11,[C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][Branch2].[C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][O][=C][Ring1][Branch2].[C][C][=C][C][Branch1][C][C][=C][C][Branch1][C][O][=C][Ring1][Branch2].[C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C].[C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C].[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][O],-1.9803097957
12,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch2][O][C][C][C][O][Ring1][Ring1][C][=C][Ring1][O],-3.4302388798
13,[C][C][Branch1][C][C][=C][C][C][\C][Branch1][C][C][=C][/C][O],-2.3206011661000003
